"surface","width_um","height_um","permission","orientations","margin_um","gap_um","minimum_side_um","enumerated","valid_distinct","after_quality","baseline","cap20","cap20_window20","cap20_novelty15","cap20_no_family_cap"
"doubleSheet","600000","240000","pagesOnly","square|square|square|square|square","15000","5000","20000","8","8","8","8","8","8","8","8"
"doubleSheet","600000","240000","pagesOnly","horizontal|horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","40","40","20","6","6","14","6","6"
"doubleSheet","600000","240000","pagesOnly","vertical|horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","114","114","78","10","20","20","20","20"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","212","212","132","10","20","20","20","20"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|vertical|horizontal|horizontal|horizontal","15000","5000","20000","260","260","140","10","20","20","20","20"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|vertical|vertical|horizontal|horizontal","15000","5000","20000","200","200","132","10","20","20","20","20"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|vertical|vertical|vertical|horizontal","15000","5000","20000","102","102","56","10","20","20","20","20"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|vertical|vertical|vertical|vertical","15000","5000","20000","24","24","13","10","11","20","11","11"
"doubleSheet","600000","240000","pagesOnly","square|square|square|square|square|square","15000","5000","20000","4","4","3","3","3","3","3","3"
"doubleSheet","600000","240000","pagesAndSheet","horizontal","15000","5000","20000","5","5","3","3","3","3","3","3"
"doubleSheet","600000","240000","pagesAndSheet","vertical","15000","5000","20000","3","3","0","0","0","0","0","0"
"doubleSheet","600000","240000","pagesAndSheet","square","15000","5000","20000","3","3","3","3","3","3","3","3"
"doubleSheet","600000","240000","pagesAndSheet","horizontal|horizontal","15000","5000","20000","7","5","4","1","1","1","1","1"
"doubleSheet","600000","240000","pagesAndSheet","vertical|horizontal","15000","5000","20000","12","12","10","4","4","4","6","6"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical","15000","5000","20000","3","2","1","1","1","1","1","1"
"doubleSheet","600000","240000","pagesAndSheet","square|square","15000","5000","20000","3","2","1","1","1","1","1","1"
"doubleSheet","600000","240000","pagesAndSheet","horizontal|horizontal|horizontal","15000","5000","20000","14","14","13","7","7","7","7","7"
"doubleSheet","600000","240000","pagesAndSheet","vertical|horizontal|horizontal","15000","5000","20000","33","33","26","10","12","14","12","18"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|horizontal","15000","5000","20000","37","35","18","6","6","12","6","9"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|vertical","15000","5000","20000","9","9","6","4","4","6","4","4"
"doubleSheet","600000","240000","pagesAndSheet","square|square|square","15000","5000","20000","6","6","3","3","3","5","3","3"
"doubleSheet","600000","240000","pagesAndSheet","horizontal|horizontal|horizontal|horizontal","15000","5000","20000","28","28","19","7","7","12","7","7"
"doubleSheet","600000","240000","pagesAndSheet","vertical|horizontal|horizontal|horizontal","15000","5000","20000","63","59","31","9","9","20","10","10"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|horizontal|horizontal","15000","5000","20000","93","91","46","10","18","20","18","20"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|vertical|horizontal","15000","5000","20000","54","54","34","10","20","20","20","20"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|vertical|vertical","15000","5000","20000","17","17","4","1","1","9","1","1"
